Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase
Leigh Drogen,Estimize,"$6,000,000.00 ","20,000,000.00","36,000,000.00",1.8
Arijit Sengupta,BeyondCore,0,"28,500,000.00",0,#VALUE!
Ash Ashutosh,Actifio,0,"20,000,000.00","52,000,000.00",2.6
Scott Voigt,Homebase.io,"$860,000.00 ","32,000,000.00","95,000,000.00",2.96875
Aleksandr Yampolskiy,SecurityScorecard Inc.,"$5,000,000.00 ","28,000,000.00","71,000,000.00",2.535714286
Susan Tynan,Framebridge,"$6,000,000.00 ","37,500,000.00","57,500,000.00",1.533333333
Rick Morrison,Comprehend Systems,0,"19,000,000.00","92,000,000.00",4.842105263
Mike Hurst,Exactuals,0,"20,000,000.00",0,#VALUE!
Sasan Amini,Clear Labs,"$6,000,000.00 ","25,000,000.00","41,000,000.00",1.64
Gene Wang,People Power,"$4,420,000.00 ","8,000,000.00","25,000,000.00",3.125
Jason Liebman,Howcast,0,"25,000,000.00",0,#VALUE!
Maxim Lobovsky,Formlabs,"$5,000,000.00 ","116,000,000.00","274,000,000.00",2.362068966
Daniela Perdomo,GoTenna,"$5,000,000.00 ","22,500,000.00","33,000,000.00",1.466666667
Adam Odessky,Sense.ly,"$6,000,000.00 ","10,000,000.00","30,000,000.00",3
Blake Hall,ID.me,"$15,000,000.00 ","32,000,000.00","80,000,000.00",2.5
Aaron Gowell,SilverRail Technologies,0,"16,000,000.00","38,000,000.00",2.375
Javier de la Torre,CARTO,0,"30,000,000.00","100,000,000.00",3.333333333
Patrick Bosworth,Duetto,"$11,000,000.00 ","38,500,000.00","70,000,000.00",1.818181818
Liang Lu,5miles,0,0,"300,000,000.00",#VALUE!
George Bousis,Raise Marketplace,0,"25,000,000.00","93,000,000.00",3.72
Reza Mohsin,Speakeasy,"$5,500,000.00 ","20,500,000.00",0,#VALUE!
Rujul Zaparde,FlightCar,0,"47,000,000.00","105,000,000.00",2.234042553
Jay Radia,Yieldify,"$11,000,000.00 ","54,000,000.00",0,#VALUE!
Benzi Ronen,Farmigo,0,"6,000,000.00","56,000,000.00",9.333333333
Tim Weingarten,The Hunt,0,"19,500,000.00","34,500,000.00",1.769230769
Glen Coates,Handshake,"$6,500,000.00 ","28,000,000.00","54,000,000.00",1.928571429
Zachary Goldstein,Thanx,0,"21,000,000.00","46,000,000.00",2.19047619
Kevin Lustig,Scientist.com (formerly Assay Depot),0,"10,000,000.00","20,000,000.00",2
David Ronick,Stash,"$16,000,000.00 ","33,000,000.00","100,000,000.00",3.03030303
Osama Elkady,INCORTA,"$20,000,000.00 ","38,000,000.00","60,000,000.00",1.578947368
Alejandro Cosentino,Afluenta,0,"12,000,000.00",0,#VALUE!
Erik Fairbairn,Pod Point,"$31,500,000.00 ",0,0,#VALUE!
Damian Kimmelman,DueDil,0,"14,000,000.00","48,000,000.00",3.428571429
Jeff Flowers,SageCloud,"$10,000,000.00 ",0,"33,000,000.00",#VALUE!
Nathan Burba,Survios,0,"16,000,000.00","46,000,000.00",2.875
Brandon Rodman,Weave,"$630,000.00 ",0,0,#DIV/0!
Eldar Tuvey,Wandera,"$14,000,000.00 ","29,000,000.00",0,#VALUE!
Spencer Kimball,Cockroach Labs,"$26,400,000.00 ","145,000,000.00","268,000,000.00",1.848275862
Toby Olshanetsky,prooV,"$10,000,000.00 ","26,000,000.00","84,000,000.00",3.230769231
Brett Schulman,Cava Grill,0,"24,000,000.00","160,000,000.00",6.666666667
Scott Crouch,Mark43,"$6,000,000.00 ","28,000,000.00","116,000,000.00",4.142857143
Lisa Gersh,Goop Inc.,"$23,500,000.00 ","40,000,000.00","65,000,000.00",1.625
Narges Bani Asadi,Bina Technologies,0,"5,550,000.00","25,500,000.00",4.594594595
Assaf Resnick,BigPanda,"$4,000,000.00 ","23,000,000.00","66,540,000.00",2.893043478
Timothy Chi,WeddingWire,0,"14,220,000.00","26,500,000.00",1.863572433
Seth Lieberman,SnapApp,0,"48,000,000.00","60,000,000.00",1.25
Jud Bowman,Appia,"$7,210,000.00 ","74,550,000.00","108,000,000.00",1.448692153
Nessan Bermingham,Intellia Therapeutics,0,"40,000,000.00","240,000,000.00",6
Sean Grundy,Bevi,"$9,000,000.00 ","18,500,000.00","33,000,000.00",1.783783784
Matiss Ansviesulis,Creamfinance,0,0,"56,000,000.00",#VALUE!
Mike Whitmire,FloQast,0,"19,000,000.00","90,000,000.00",4.736842105
Oren Levy,Zooz,0,"10,000,000.00",0,#VALUE!
John West,Whistle Sports,0,"23,000,000.00","85,000,000.00",3.695652174
Juha Koponen,Swap.com,0,0,"56,000,000.00",#VALUE!
Tony Mamone,Livingly Media,0,"17,000,000.00","55,000,000.00",3.235294118
Alberto Sheinfeld,Payfully,"$5,000,000.00 ",0,0,#VALUE!
Javier Soltero,Acompli,0,"25,000,000.00","200,000,000.00",8
Avner Ronen,Boxee,0,"10,700,000.00","26,200,000.00",2.448598131
Denise Thomas,ApplePie Capital,"$12,000,000.00 ","27,500,000.00","56,000,000.00",2.036363636
Jason Oberfest,Mango Health,"$8,500,000.00 ","22,000,000.00","33,000,000.00",1.5
Babur Ozden,Maana,"$8,000,000.00 ","27,000,000.00","86,000,000.00",3.185185185
Jim Gilliam,NationBuilder,0,"23,000,000.00","90,000,000.00",3.913043478
Gregory Mark,Markforged,"$3,000,000.00 ","23,500,000.00","58,000,000.00",2.468085106
James Foster,ZeroFOX,"$8,000,000.00 ","30,500,000.00","170,000,000.00",5.573770492
Daniel Hegarty,Habito,"$7,500,000.00 ","25,000,000.00",0,#VALUE!
Alex Freedland,Mirantis,0,"61,000,000.00","555,550,000.00",9.107377049
Inder Singh,Kinsa,"$11,500,000.00 ","25,000,000.00","50,000,000.00",2
Chandran Sankaran,Zyme Solutions,0,"13,000,000.00","29,000,000.00",2.230769231
Sajith Wickramasekara,Benchling,0,"20,420,000.00","40,000,000.00",1.958863859
Eric Greenberg,Wrap Media,Nan,"10,000,000.00","40,500,000.00",4.05
Erik Eliason,storefront,"$10,000,000.00 ","27,540,000.00",0,#VALUE!
Nicholas Rellas,Drizly,"$11,430,000.00 ","50,000,000.00","75,000,000.00",1.5
Brian NeSmith,Arctic Wolf Networks,0,"36,000,000.00","105,000,000.00",2.916666667
John Ham,Ustream,0,"40,000,000.00",0,#VALUE!
Ben Katz,CARD.com,"$6,000,000.00 ","17,000,000.00","27,000,000.00",1.588235294
Omer Artun,AgilOne,"$17,500,000.00 ","51,000,000.00","115,500,000.00",2.264705882
Michael Huang,Glow,"$19,000,000.00 ","27,000,000.00","86,000,000.00",3.185185185
Asi Sharabi,Wonderbly,"$4,230,000.00 ",0,0,#VALUE!
Benny De-Kalo,Worthy,0,"26,300,000.00",0,#VALUE!
Ari Tulla,BetterDoctor,"$9,000,000.00 ","25,000,000.00","23,000,000.00",0.92
Phil Harris,Geofeedia,"$7,000,000.00 ","26,000,000.00","105,000,000.00",4.038461538
Bonnie Crater,Full Circle Insights,0,"8,500,000.00","26,000,000.00",3.058823529
Matt Zitzmann,Kamcord,0,"41,000,000.00","105,000,000.00",2.56097561
Matthew Bellows,Yesware,"$3,500,000.00 ","12,220,000.00","41,000,000.00",3.355155483
Paul Albright,Captora,0,"14,700,000.00","104,000,000.00",7.074829932
Martin Floreani,FloSports,0,"40,00,000","93,000,000.00",#VALUE!
Hugo Fiennes,Electric Imp,0,"27,000,000.00","62,000,000.00",2.296296296
Tal Weiss,OverOps,0,"12,000,000.00","57,000,000.00",4.75
Ross Shanken,Jornaya,"$6,000,000.00 ","32,000,000.00","50,000,000.00",1.5625
Don Spear,OpenSesame,0,"17,000,000.00",0,#VALUE!
Fred Shilmover,InsightSquared,0,"15,000,000.00","43,000,000.00",2.866666667
Chris Giordano,MiMedia,"$25,000,000.00 ","88,000,000.00","45,000,000.00",0.511363636
Mark T. Lynn,DSTLD,"$12,000,000.00 ","32,000,000.00",0,#VALUE!
Jason Brown,Tally Technologies,"$9,000,000.00 ","50,000,000.00",0,#VALUE!
Gregg Sando,Cell Medica,0,0,"104,000,000.00",#VALUE!
Ran Sarig,Datorama,0,"10,000,000.00","51,000,000.00",5.1
Asaf Somekh,iguazio,0,0,"100,000,000.00",#VALUE!
Michael Carvin,SmartAsset,"$8,000,000.00 ","20,000,000.00","61,000,000.00",3.05
Amit Chatterjee,Leap Commerce,0,"12,110,000.00",0,#VALUE!
Bob Richards,"Moon Express, Inc.",0,"10,000,000.00","40,000,000.00",4
Ethan Song,Frank & Oak,0,"16,200,000.00",0,#VALUE!
Jay Desai,PatientPing,0,"35,000,000.00","88,000,000.00",2.514285714
Kumar Mehta,Versa Networks,0,"35,000,000.00","116,000,000.00",3.314285714
Saki Dodelson,Achieve3000,0,"7,000,000.00","14,000,000.00",2
Brian Schechter,HowAboutWe,0,"60,150,000.00","54,000,000.00",0.897755611
Tony Zhao,Agora.io,0,0,"100,000,000.00",#VALUE!
David Soloff,Premise,"$8,500,000.00 ","16,000,000.00","55,000,000.00",3.4375
Alex Gorelik,Waterline Data,0,"15,000,000.00","42,000,000.00",2.8
Jeffrey Marrazzo,Spark Therapeutics,0,"70,000,000.00","133,000,000.00",1.9
Georg Petschnigg,FiftyThree,"$7,100,000.00 ","93,360,000.00","190,580,000.00",2.04134533
Amit Narayan,Autogrid,0,"6,530,000.00","17,350,000.00",2.656967841
Anand Babu Periasamy,"Minio, Inc.","$11,000,000.00 ","63,000,000.00",0,#VALUE!
Manu Mathew,Visual IQ,0,"12,130,000.00","33,180,000.00",2.735366859
T.J. Clark,TurnKey Vacation Rentals,"$17,070,000.00 ","42,500,000.00","65,000,000.00",1.529411765
Nick Francis,Help Scout,"$3,250,000.00 ","21,000,000.00","41,000,000.00",1.952380952
Rachel Carlson,Guild Education,0,0,"125,000,000.00",#VALUE!
Orazio Buzza,Fooda,0,"12,500,000.00","28,000,000.00",2.24
Bo Lu,FutureAdvisor,0,"18,000,000.00","47,000,000.00",2.611111111
Nikhil Sethi,Adaptly,"$4,000,000.00 ","14,000,000.00","47,000,000.00",3.357142857
Saar Yoskovitz,Augury,"$7,500,000.00 ","28,000,000.00","68,000,000.00",2.428571429
Kreg Peeler,SpinGo,0,"16,000,000.00",0,#VALUE!
David Perry,Gaikai,0,"17,000,000.00","45,000,000.00",2.647058824
Mallik Sundaram,Mitra Biotech,0,0,"250,000,000.00",#VALUE!
Sachin Kamdar,Parsely,0,"2,400,000.00","15,000,000.00",6.25
Russell Fradin,Dynamic Signal,0,"30,000,000.00","80,000,000.00",2.666666667
Aaron Schildkrout,HowAboutWe,0,"60,150,000.00","53,000,000.00",0.881130507
Alexis Prenn,Receipt Bank,"$470,000.00 ","30,000,000.00",0,0
Rashid Mansoor,Hadean,"$17,000,000.00 ",0,0,0
John Belizaire,FirstBest,0,"26,000,000.00","23,000,000.00",0
Jacob Taylor,"Replicat, Inc.","$8,500,000.00 ","20,000,000.00",0,0
Spencer Hutchins,Reflexion Health,"$9,320,000.00 ","22,000,000.00","35,000,000.00",0
Sheeroy D. Desai,Gild,"$6,000,000.00 ","17,000,000.00","53,500,000.00",0
Frank Huerta,TransLattice,0,"27,000,000.00","28,660,000.00",0
Jon Radoff,Disruptor Beam,"$2,550,000.00 ","14,420,000.00",0,0
Ola Sars,Soundtrack Your Brand,0,0,"8,000,000.00",0
Jason Kassin,FilmTrack,0,"44,000,000.00","76,120,000.00",0
Inder Guglani,Guru,"$11,510,000.00 ","30,000,000.00",0,0
Carlin Wiegner,CubeTree,0,"9,000,000.00","20,000,000.00",0
Nisan Gabbay,Sociable Labs,0,"4,110,000.00","26,000,000.00",0
Richard Price,Academia.edu,0,"25,640,000.00","47,330,000.00",0
Vince Passione,"LendKey Technologies, Inc.",0,"18,000,000.00","43,000,000.00",0
James Gwertzman,"PlayFab, Inc.",0,"26,050,000.00",0,0
Sravish Sridhar,Kinvey,"$5,310,000.00 ","19,000,000.00","38,000,000.00",0
Hironobu Yoshikawa,Treasure Data,0,"35,000,000.00","87,800,000.00",0
Mike Cook,XOR Data Exchange,0,"16,460,000.00",0,0
Amar Arsikere,Infoworks,0,"14,000,000.00","50,000,000.00",0
Yoshinari Yoshikawa,Miselu Inc.,0,"14,320,000.00","30,000,000.00",0
Opher Kahane,Origami Logic,0,"32,190,000.00","100,000,000.00",0
McKay Thomas,"First Opinion, Inc.",0,0,"22,190,000.00",0
Noah Ready-Campbell,Twice,0,"20,700,000.00",0,0
Daniel Roth,Semantic Machines,0,"34,000,000.00","112,380,000.00",0
David Friedman,Ayla Networks,0,"15,350,000.00","45,200,000.00",0
Steven Lam,GOGOVAN,0,0,"100,000,000.00",0
Neil Warren,eHarmony,0,"15,750,000.00","702,000,000.00",0
Joshua Feast,Cogito Corporation,0,"21,000,000.00","60,000,000.00",0
James Sider,Bandpage,0,"11,720,000.00","125,140,000.00",0
David Vinca,eSpark,"$5,000,000.00 ","13,700,000.00",0,0
Shaun Ritchie,Teem,"$5,440,000.00 ","17,630,000.00","41,560,000.00",0
Marc Fenigstein,Alta Motors,0,"25,500,000.00",0,0
Mike Harris,Zonoff,0,"11,640,000.00","108,000,000.00",0
Alfred Chuang,Magnet Systems Inc.,0,"41,200,000.00","276,000,000.00",0
Gregg Freishtat,SalesWise,0,"10,270,000.00",0,0
Andrew Blackmon,The Black Tux,"$11,130,000.00 ","43,480,000.00",0,0
Thomas Noyes,Commerce Signals,0,"17,000,000.00","36,000,000.00",0
Nadia Shalaby,Arctic Sand Technologies,0,"21,630,000.00","48,790,000.00",0
Osman Khan,Paddle8,0,"8,000,000.00","23,000,000.00",0
Eric Heil,RightCare Solutions,0,"4,410,000.00","13,000,000.00",0
Rishi Bali,YOGASMOGA,0,"38,000,000.00","74,000,000.00",0
Brett Galloway,Xova Labs,"$8,000,000.00 ",0,0,0
David Norris,MD Insider,"$24,000,000.00 ",0,"36,000,000.00",0
Anna Zornosa,Ruby Ribbon,0,"9,500,000.00","25,000,000.00",0
Lisa Stone,BlogHer,0,"9,000,000.00","22,000,000.00",0
Scott Tilton,Hookit,0,"2,250,000.00","15,000,000.00",0
Geoff Tate,Flex Logix Technologies,"$1,740,000.00 ","24,400,000.00","62,000,000.00",0
Adam Healey,"Borrowed & Blue, Inc.","$12,590,000.00 ","23,850,000.00",0,0
Slavik Markovich,Demisto,0,"20,000,000.00","75,000,000.00",0
Brad Hunstable,Ustream,0,"40,200,000.00",0,0
Jonathan Cedar,BioLite,0,"8,820,000.00","30,460,000.00",0
Gregg Spiridellis,JibJab,0,"32,670,000.00","42,980,000.00",0
Serge Saxonov,10X Genomics,"$26,000,000.00 ","56,000,000.00","222,000,000.00",0
Hani Elias,Procured Health,0,"12,650,000.00","33,490,000.00",0
Sean Suchter,Pepperdata,"$8,180,000.00 ","13,600,000.00","41,440,000.00",0
Veer Gidwaney,Maxwell Health,"$4,120,000.00 ","26,160,000.00","82,000,000.00",0
Mio Babic,iStreamPlanet,0,"65,450,000.00","185,000,000.00",0
Brian Biles,Datrium,0,"60,780,000.00","197,000,000.00",0
Bryan Burkhart,H.BLOOM,0,"33,850,000.00","68,250,000.00",0
Abe Smith,Dealflo,0,"24,300,000.00","43,400,000.00",0
Justin Effron,ALICE,0,"17,500,000.00","38,750,000.00",0
Michael Duffy,CITYBASE,0,"10,000,000.00","20,000,000.00",0
Darrius Thompson,SweetLabs,0,"10,500,000.00","28,220,000.00",0
Evan Liang,LeanData,"$6,000,000.00 ","17,000,000.00","46,400,000.00",0
BC Krishna,MineralTree,"$4,340,000.00 ","19,860,000.00","43,940,000.00",0
P.J. Gunsagar,Kidaptive,0,0,"27,250,000.00",0
Jules Pieri,The Grommet,0,"9,400,000.00",0,0
Brenda Schmidt,"Solera Health, Inc.","$9,000,000.00 ","26,500,000.00","74,000,000.00",0
Russell Tencer,United Wind,0,0,"13,000,000.00",0
Grant Gordon,Artemis Health,"$6,000,000.00 ","26,400,000.00","64,000,000.00",0
Dan Murillo,Little Black Bag,0,"10,740,000.00","40,150,000.00",0
Jason Gardner,Magenta Therapeutics,0,"50,000,000.00","250,000,000.00",0
Russell Fadel,ThingWorx,0,"4,800,000.00","19,070,000.00",0
Gerardo Obregon,Prestadero,"$1,400,000.00 ",0,0,0
Peter Bauer,Mimecast,0,"108,500,000.00","330,000,000.00",0
Brent Grinna,EverTrue,"$6,000,000.00 ","14,000,000.00","30,000,000.00",0
Pete Foley,Wave Computing,0,"14,000,000.00",0,0
Jeff Franco,Tendyne Holdings,0,"3,000,000.00","54,000,000.00",0
Monisha Perkash,Lumo Bodytech,"$1,340,000.00 ","21,310,000.00","40,650,000.00",0
Elie Seidman,Oyster.com,0,"18,200,000.00","36,600,000.00",0
Tom Costello,Cuil,0,"34,000,000.00","221,000,000.00",0
Zackary King,SHYFT,0,"44,300,000.00","100,000,000.00",0
Malcolm Cowley,Performance Horizon,"$2,600,000.00 ","22,000,000.00",0,0
Ned Moorfield,GoCatch,"$2,000,000.00 ","12,600,000.00","19,740,000.00",0
Udaynandan Reddy Padi,YUPPTV,"$25,000,000.00 ",0,0,0
Jonathan Brassington,LiquidHub,0,0,"170,000,000.00",0
Nicolas Tejerina,Navent,0,0,"30,000,000.00",0
Heath Wells,NuORDER,0,"10,000,000.00","34,500,000.00",0
Henry Wong,SS8 Networks,0,"25,000,000.00","75,000,000.00",0
Jeff Ma,tenXer,0,"6,300,000.00","15,000,000.00",0
John Squire,DynamicAction,0,"6,000,000.00","80,000,000.00",0
Mo Chen,TuSimple,0,0,"666,670,000.00",0
John Poisson,Wantful,0,"24,280,000.00",0,0
Matt Dalio,ENDLESS,0,"71,000,000.00","106,000,000.00",0
Chris Forman,"Appcast, Inc",0,"16,000,000.00","51,000,000.00",0
Joseph Paresi,IDSS Holdings,"$6,000,000.00 ","53,000,000.00","71,000,000.00",0
Mukundu Kumaran,C1X Inc.,0,"14,500,000.00","61,000,000.00",0
Marc J. Gorlin,Roadie,0,"36,000,000.00",0,0
Omri Iluz,PerimeterX,"$11,000,000.00 ","32,500,000.00","54,000,000.00",0
Terry Angelos,TrialPay,0,"14,000,000.00","58,000,000.00",0
Victoria Livschitz,"Tonomi, Inc.","$7,800,000.00 ",0,0,0
Drew Schiller,Validic,"$5,500,000.00 ","22,600,000.00","49,250,000.00",0
Clayton Alexander,Ember Technologies,0,"40,000,000.00","72,000,000.00",0
Jim Kean,WellnessFX,0,"4,300,000.00","12,250,000.00",0
Megan Gardner,Plum District,0,"4,600,000.00","16,000,000.00",0
Cheng Liu,Eureka Therapeutics,0,"6,260,000.00","12,510,000.00",0
Haresh Patel,Mercatus,0,"12,000,000.00","36,800,000.00",0
Sachin Katti,Kumu Networks,0,"25,350,000.00","59,720,000.00",0
Jason Ricci,Fluxx,0,"33,200,000.00","68,000,000.00",0
Manik Singh,Threadflip,"$7,000,000.00 ","25,000,000.00","51,000,000.00",0
Rob Salvatore,Tongal,"$2,220,000.00 ","2,470,000.00","48,150,000.00",0
Vikas Jha,Teracent,0,"14,700,000.00",0,0
Jeff Daniel,StarMaker Interactive,0,"14,320,000.00","28,000,000.00",0
Pieter van Rooyen,Edico Genome,"$17,000,000.00 ","31,000,000.00","88,000,000.00",0
Ujjal Kohli,Rhythm NewMedia,0,"19,000,000.00","54,000,000.00",0
Karl Wirth,Evergage,"$6,580,000.00 ","90,000,000.00","33,000,000.00",0
David P. Mariani,AtScale,"$6,830,000.00 ","22,000,000.00","58,000,000.00",0
Andras Forgacs,Modern Meadow,0,"50,000,000.00","148,000,000.00",0
Robert Carlson,UNIFi Software,"$17,450,000.00 ","40,000,000.00","81,500,000.00",0
Michael Smalls,Hoopla Software,0,"6,000,000.00","24,000,000.00",0
Richard White,UserVoice,0,"3,000,000.00","15,000,000.00",0
Harmeet S. Bindra,Leixir,0,"8,000,000.00",0,0
Kelly Dachtler,The Clymb,0,"5,800,000.00",0,0
Taku Harada,Peatix,0,"14,000,000.00","30,000,000.00",0
Simon Lenoir,Rezdy,0,"2,000,000.00",0,0
David Mandell,PivotDesk,0,"11,000,000.00","17,000,000.00",0
Craig Malloy,Lifesize,0,"24,000,000.00","68,000,000.00",0
Ben Wolstenholme,Madefire,"$4,600,000.00 ","15,000,000.00","26,500,000.00",0
Cliff Moon,Opsee,0,0,0,0
Hesaam Esfandyarpour,Genapsys,0,"34,000,000.00","267,000,000.00",0
Marc Ruxin,TastemakerX,"$18,000,000.00 ",0,0,0
Radu B. Rusu,Fyusion,0,"20,000,000.00","120,000,000.00",0
Ronni Zehavi,Hibob,"$18,340,000.00 ",0,0,0
Abir Sen,Gravie,"$9,000,000.00 ","28,000,000.00","47,000,000.00",0
Alex Bell,Signal360 (formerly Sonic Notify),0,"15,750,000.00",0,0
Stephen Bollinger,Rinovum Women's Health,0,"10,000,000.00","23,000,000.00",0
Shaffi Mather,Ziqitza Health Care,"$4,790,000.00 ",0,0,0
Robert Holler,VersionOne,0,"14,500,000.00","80,000,000.00",0
Kevin J. Duffy,Fastback Networks,0,"21,000,000.00","37,600,000.00",0
Bill Gerhart,Elevation Pharmaceuticals,0,"40,000,000.00","80,000,000.00",0
Mohit Midha,Mangahigh,0,"9,430,000.00","14,670,000.00",0
Dave Gilbert,Evermind,0,"10,000,000.00",0,0
Tuan Ha-Ngoc,deNovis,0,"76,000,000.00","130,000,000.00",0
Shane Dyer,Arrayent,0,0,"45,000,000.00",0
Jeffrey Wagner,Aquilon Energy Services,0,0,"50,000,000.00",0
Tuvia Barlev,Actelis Networks,0,"15,300,000.00","77,500,000.00",0
Trevor Stout,yap.TV,0,"5,170,000.00",0,0
Chris Caldwell,"LockPath, Inc.",0,"8,300,000.00","25,300,000.00",0
Pauline Alker,A la Mobile,"$7,000,000.00 ","20,000,000.00",0,0
Emek Kırbıyık,Dugun.com,"$12,000,000.00 ",0,0,0
Manish Taneja,Purplle,0,"25,000,000.00",0,0
Jason Wesbecher,myDocket,0,"10,240,000.00",0,0
PJ Gurumohan,GENWI,0,"3,000,000.00","17,000,000.00",0
Poojan Kumar,PernixData,0,"31,000,000.00","114,000,000.00",0
Joan Llavina,Cebiotex,"$3,000,000.00 ",0,0,0
Marco Samek,Muume AG,0,0,"41,000,000.00",0
Brandon Wright,Cognical,0,"9,000,000.00","45,000,000.00",0
Ben De Kalo,Worthy,0,"5,000,000.00","26,000,000.00",0
Jussi Laakkonen,Applifier,0,0,"1,250,000,000.00",0
Matthew B. Shoemake,Biscotti,"$7,500,000.00 ","14,000,000.00",0,0
Susie Kim Riley,Aquto,0,"17,000,000.00","57,000,000.00",0
Dan O'Malley,PerkStreet Financial,0,"12,000,000.00","27,000,000.00",0
Rob Principe,Scratch Music Group,0,"9,000,000.00","25,000,000.00",0
Greg Bullington,Magnolia Medical Technologies,"$22,000,000.00 ",0,0,0
Manmeet Singh Bhasin,Dataguise,0,"4,000,000.00","60,000,000.00",0
Mandeep Arora,Cantaloupe Systems,0,0,"14,500,000.00",0
Ed Rebholz,WhipTail,0,"6,000,000.00","27,000,000.00",0
Jon Jackson,Mobile Posse,"$7,000,000.00 ",0,"24,000,000.00",0
Burck Smith,StraighterLine,0,"10,000,000.00","40,000,000.00",0
Joe Giordano,Payzer,0,"12,000,000.00","25,000,000.00",0
Bobby Jadhav,Spotzot,0,"6,200,000.00",0,0
Dr. Nicholas Psaila,Optoscribe,0,"3,000,000.00","6,000,000.00",0
AC Chakrabarti,AnyPresence,0,"9,000,000.00","19,000,000.00",0
Michael Hite,Impel NeuroPharma,0,"4,000,000.00","26,000,000.00",0
Yori Gabay,InstallFree,0,"31,000,000.00","12,000,000.00",0
Andrew Daines,PrePlay,"$15,000,000.00 ",0,"20,000,000.00",0
Michael Hennessy,SmashFly,0,"27,000,000.00","77,000,000.00",0
Greg Goldfarb,Flint,"$460,000.00 ","8,000,000.00","26,000,000.00",0
Lakshmanan (Lux) Narayan,Unmetric,0,"8,000,000.00","23,500,000.00",0
David Utley,Carrot,0,"73,800,000.00",0,0
Sungwuk Kim,ImmunoMet Therapeutics,"$2,500,000.00 ","15,000,000.00","30,000,000.00",0
Bostjan Bregar,4th Office,"$5,000,000.00 ","13,000,000.00","18,000,000.00",0
Prem Uppaluru,Transera Communications,0,"28,000,000.00","49,000,000.00",0
Eran Arbel,Breakaway Labs,"$6,590,000.00 ",0,0,0
Art Norins,Nor1,0,"7,000,000.00","19,000,000.00",0
Nick East,Zynstra,"$4,000,000.00 ","8,000,000.00","17,000,000.00",0
Paul Ironside,CommercialTribe,0,"10,000,000.00","20,000,000.00",0
Priya Haji,SaveUp,"$7,500,000.00 ","15,700,000.00",0,0
Mike Perrone,SocialSign.in,"$7,000,000.00 ",0,0,0
Peter Badger,Framehawk,0,"18,000,000.00","46,000,000.00",0
Alan Hahn,MycoTechnology,0,"26,000,000.00",0,0
EuGene Wade,UniversityNow,0,"19,000,000.00","44,000,000.00",0
Adam Pikett,SportPursuit,0,"7,000,000.00","25,000,000.00",0
Andres Fabris,Traxo,0,"11,000,000.00","24,000,000.00",0
Rajesh Nahar,Cbazaar.com,0,0,"24,000,000.00",0
Prat Moghe,Cazena,0,"21,000,000.00","88,000,000.00",0
Brian Spector,CertiVox,0,"7,000,000.00","27,000,000.00",0
Nish Kukadia,SecretSales,0,"9,000,000.00","7,000,000.00",0
Jesse Rothstein,ExtraHop Networks,0,"12,000,000.00","90,000,000.00",0
Craig H. Misrach,Freedom Meditech,0,"11,000,000.00","38,000,000.00",0
Diego May,Junar,"$3,000,000.00 ","2,660,000.00",0,0
David Smith,High Brew Coffee,"$16,000,000.00 ","40,000,000.00","72,000,000.00",0
Michael Neal,DecisionNext,"$10,000,000.00 ",0,0,0
Ray Bell,Grid Net,0,"23,000,000.00",0,0
David Leeds,Tango Card,0,"6,000,000.00","30,000,000.00",0
Bill Dallas,Cloudvirga,0,"37,500,000.00","60,000,000.00",0
Will Shulman,mLab,0,"7,500,000.00","24,500,000.00",0
Foster Hinshaw,Dataupia,0,"22,000,000.00","62,000,000.00",0
Tony Conrad,about.me,0,"3,430,000.00",0,0
Steve Rosenbaum,Waywire Networks,0,"5,100,000.00","9,600,000.00",0
Jevgeni Kabanov,ZeroTurnaround,0,0,"59,360,000.00",0
Kenneth Munson,"Sunverge Energy, Inc",0,"14,000,000.00","34,000,000.00",0
Jeff Rubenstein,SmartProcure,0,"17,000,000.00","65,000,000.00",0
Mike Kennewick,VoiceBox Technologies,0,"39,000,000.00","42,000,000.00",0
Craig Harris,HG Data Company,0,"15,000,000.00","54,000,000.00",0
Ken Song,"Ariosa Diagnostics, Inc.",0,"4,650,000.00","23,210,000.00",0
C.R. Chandrasekar,FundsIndia,0,"2,600,000.00",0,0
Patrick Anquetil,Portal Instruments,0,"22,000,000.00","70,000,000.00",0
Krishna Prabhakar,Avenda Systems,0,0,0,0
Nicholas Benedict,Allecra Therapeutics, ,0,0,0
Jeffrey Mullen,Dynamics,0,0,0,0
Mick Hewitt,MasteryConnect,0,0,0,0
Tim Stojka,Agentis Energy,0,0,0,0
Carine Schorochoff,4Tech,0,0,0,0
Koichiro Yoshida,CrowdWorks,0,0,0,0
Peter Goggin,Resson,0,0,0,0
Sam Ellis,DriverUp,0,0,0,0
J. David Smith,LiquiGlide,0,0,0,0
Iván Tintoré,iContainers,0,0,0,0
Eddy Zhang,iCarsClub,0,0,0,0
Colin Kwan,MEMSDrive,0,0,0,0
Jeff White,Gravy Analytics,0,0,0,0
Yi Shi,Avazu Inc,0,0,0,0
Fauad Hasan,Bonti,0,0,0,0
Pier LaFarge,Sparkfund,0,0,0,0
Joe Epperson,MaxPoint Interactive,0,0,0,0
Minh Dang,Foody,0,0,0,0
Doug Stevenson,Vibrant Media,0,0,0,0
Micke Paqvalén,Kiosked,0,0,0,0
Carl Holmquist,Freespee,0,0,0,0
Gideon Stein,LightSail Education,0,0,0,0
